0.0,1,441,0,171,-16,0,0,3,0
1.172,2,978,2,481,-16,0,0,3,0
2.331,3,1505,3,250,-12,1,0,3,0
3.614,4,2036,4,264,-12,1,0,3,0
5.003,5,2583,5,501,-12,1,0,3,0
6.322,6,3135,7,651,-11,2,0,3,0
7.571,7,3676,8,306,-10,3,0,3,0
10.133,8,4572,11,753,-10,3,0,3,0
12.451,9,5419,13,1145,-10,3,0,3,0
14.793,10,6267,15,1537,-10,3,0,3,0
17.179,11,7115,18,1933,-10,3,0,3,0
19.463,12,7947,20,1868,-9,4,0,3,0
21.892,13,8824,22,2275,-9,4,0,3,0
25.271,14,10028,26,250,-6,6,0,3,0
30.529,15,11688,31,250,-4,7,0,3,0
39.289,16,13858,40,1066,-4,6,0,3,0
45.165,17,15541,46,1748,-4,6,0,3,0
51.111,18,17278,52,2427,-4,6,0,3,0
58.121,19,19023,59,3099,-4,6,0,3,0
62.751,20,20311,63,3596,-4,6,0,3,0
68.966,21,21955,69,4197,-4,6,0,3,0
75.601,22,23613,76,4919,-4,6,0,3,0
82.44,23,25247,83,5575,-4,6,0,3,0
87.768,24,26605,88,6092,-4,6,0,3,0
95.185,25,28354,96,6724,-4,6,0,3,0
99.981,26,29434,100,7108,-4,6,0,3,0
105.176,27,30733,106,7563,-4,6,0,3,0
112.772,28,32425,113,8234,-4,6,0,3,0
120.547,29,34105,121,8885,-4,6,0,3,0
131.108,30,36196,132,9768,-4,6,0,3,0
139.136,31,37923,140,10460,-4,6,0,3,0
144.146,32,39234,145,9611,-3,7,0,3,0
152.973,33,40955,153,10434,-3,7,0,3,0
164.212,34,43074,165,11367,-3,7,0,3,0
175.476,35,45141,176,12185,-3,7,0,3,0
187.003,36,47225,187,13126,-3,7,0,3,0
196.398,37,49046,197,13835,-3,7,0,3,0
212.233,38,51623,213,14781,-3,7,0,3,0
220.639,39,53325,221,6562,-2,8,0,3,0
229.606,40,55031,230,7283,-2,8,0,3,0
240.848,41,57190,241,8226,-2,8,0,3,0
253.885,42,59359,254,9300,-2,8,0,3,0
271.521,43,61960,272,10409,-2,8,0,3,0
281.26,44,63801,282,11154,-2,8,0,3,0
291.076,45,65570,291,11973,-2,8,0,3,0
309.027,46,68276,309,13046,-2,8,0,3,0
322.628,47,70408,323,14034,-2,8,0,3,0
337.148,48,72680,338,14977,-2,8,0,3,0
351.442,49,74830,352,15985,-2,8,0,3,0
371.712,50,77533,372,17069,-2,8,0,3,0
382.528,51,79273,383,17808,-2,8,0,3,0
395.97,52,81422,396,18751,-2,8,0,3,0
407.35,53,83175,408,19539,-2,8,0,3,0
421.766,54,85294,422,20498,-2,8,0,3,0
438.625,55,87861,439,21460,-2,8,0,3,0
458.718,56,90505,459,22594,-2,8,0,3,0
474.494,57,92771,475,23470,-2,8,0,3,0
489.781,58,94905,490,24421,-2,8,0,3,0
506.531,59,97080,507,25449,-2,8,0,3,0
514.918,60,98467,515,26007,-2,8,0,3,0
530.669,61,100000,531,24804,-1,11,0,2,1
